"sipno","sira","musteri","kumas","parkumno","arge_yabby","datalogged","zone_check","latitude","longitude"
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 13:58:02.000,4,38.6181431,27.3655508
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 12:57:39.000,4,38.6181725,27.3655403
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 11:57:12.000,4,38.6181913,27.3655849
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 10:56:41.000,4,38.6181487,27.3655359
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 09:56:14.000,4,38.6181465,27.3655419
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 09:41:06.000,4,38.618196,27.3655748
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 09:27:25.000,4,38.6181423,27.365553
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 09:12:34.000,4,38.6182136,27.3654399
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 08:57:36.000,4,38.6181451,27.3655456
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 08:42:43.000,4,38.6181798,27.3656094
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 08:30:12.000,4,38.6182159,27.3654649
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 08:16:24.000,4,38.6182255,27.365643
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 07:35:38.000,2,38.6184314,27.3657162
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 06:35:12.000,4,38.6183604,27.365749
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 06:20:16.000,4,38.6183621,27.3657558
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 06:08:57.000,4,38.6183662,27.3657718
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 05:45:32.000,2,38.6183974,27.3656931
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 04:45:05.000,2,38.6184401,27.3657003
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 03:44:36.000,1,38.6184962,27.3657852
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 02:44:10.000,4,38.6183543,27.3657248
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 01:43:38.000,4,38.6183451,27.3656904
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-16 00:43:13.000,1,38.6184764,27.3657365
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 23:42:46.000,-1,38.6184016,27.3657503
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 22:42:20.000,1,38.6184389,27.3657618
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 21:41:57.000,-1,38.6183959,27.365746
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 20:41:29.000,4,38.6183136,27.3656872
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 20:26:31.000,4,38.6183002,27.365693
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 20:11:37.000,4,38.6183217,27.3657212
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 19:14:03.000,2,38.6184298,27.3657065
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 18:13:34.000,4,38.6183487,27.3657036
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 17:13:08.000,2,38.6184477,27.365692
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 16:57:58.000,2,38.618428,27.3656804
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 16:42:58.000,4,38.6183592,27.3657183
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 16:28:06.000,4,38.6183623,27.3657566
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 16:13:00.000,4,38.6183111,27.3656765
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 15:58:11.000,2,38.6186729,27.3655022
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 15:46:33.000,-1,38.6187391,27.3654035
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 15:31:36.000,2,38.6186903,27.3653995
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 15:16:29.000,-1,38.6187406,27.3654127
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 15:05:24.000,2,38.6187217,27.3653867
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 14:50:20.000,2,38.6187235,27.3653859
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 14:39:07.000,2,38.6187236,27.365334
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 14:24:01.000,2,38.6187286,27.3653535
361235,2,TAYRA TEKSTIL,FUTTER 30/24 P-K FULL LYC ŞRD,966576,10,2023-06-15 14:04:41.000,2,38.6186683,27.3654084
